Term,Pronunciation,Context / Example Usage,Notes,Tags
SPIRAL,,,,
SProp,S-prop,short for strict propositions,,theory
SSA (static single assignment) ,,,,Common-term
STG machine,S.T.G. machine,,,
STLC (simply-typed lambda calculus) ,,,,Common-term
Saarland University,,,,Institution
SafeP4,,A version of P4 with a simple type system,,Programming-language
Sail,,,,
Sam Lindley,,,,Author
Sam Westrick,,,,Author
Samantha Frohlich,,,,Author
Samuel Gruetter,,,,Author
Sander Huyghebaert,,,,
Scala,,,,Common-term programming-language
Scheme,,,,Common-term programming-language
Schrijvers,,,,
Seax,,,,
Sebastian Erdweg,,,,Author
Sebastian Ullrich,,,,Author
Semantic,,,,Common-term
Semi-axiomatic,,,,
Semi-lattice,,,,Common-term
Sergey and Clarke,,,,
Series-parallel order maintenance (SP-order maintenance),,,,
Session-typed concurrency,,,,
Shao,,,,
Shin-ya Katsumata,,,,Author
Shivers,,,,
Shriram Krishnamurthi,,,,Author
Shun Kashiwa,,,,Author
Siek ,,,,
Sigma,,,,
Silberschatz,,,,
Simon Fowler,,,,Author
Simon J. Gay,,,,Author
Simon Peyton Jones,,,,Author
Simon Spies,,,,Author
Single-step reduction rules,,,,
Small-step operational semantics,,,,
Smirnov,,,,
Software-Defined Networking (SDN),,,,
Son Ho,,,,Author
Son Ho,,,,Author
Space KAM,,,,
StackOverflow,,,,
Staged Compilation with Two-Level Type Theory,,,,Title
StateT,,,,Common-term
Steele,,,,Name
Stephanie Balzer,,,,Author
Stephanie Weirich,,,,Author
Stephano Perna,,,,Author
Steve Zdanewic,,,,Author
Steven Keuchel,,,,
Stirling,,,,
Stump,,,,
Sub-probability kernels,,,,
Subevent,,,,
Sulzman,,,,
Sven Keidel,,,,Author
Swamy,,,,
Swierstra,,,,
System F,,,,Common-term
TAL,,Typed assembly language,,Common-term
TAs,,,,
TD (Temporal Difference) ,,,,
TE,,Traffic engineering,,
TRMC (tail-recursion-modulo-cons),,,,
TTL (time to live),,,,networking
